f 1m 1f 2m 2f jL0200m jL0200f jL0100m jL0100f jV0200m jV0200f 
1.37131 0.469155 -58.5816 1 -0 0.524782 -65.2018 0.469155 121.418 0.524782 114.798 
1.37448 0.468368 -58.6403 1 -0 0.523886 -65.2454 0.468368 121.36 0.523886 114.755 
1.37765 0.467581 -58.699 1 -0 0.522989 -65.289 0.467581 121.301 0.522989 114.711 
1.38083 0.466794 -58.7576 1 -0 0.522094 -65.3325 0.466794 121.242 0.522094 114.667 
1.38402 0.466008 -58.8161 1 -0 0.521199 -65.376 0.466008 121.184 0.521199 114.624 
1.38721 0.465222 -58.8746 1 -0 0.520304 -65.4195 0.465222 121.125 0.520304 114.58 
1.39041 0.464436 -58.933 1 -0 0.51941 -65.463 0.464436 121.067 0.51941 114.537 
1.39362 0.463651 -58.9913 1 -0 0.518516 -65.5064 0.463651 121.009 0.518516 114.494 
1.39684 0.462866 -59.0496 1 -0 0.517623 -65.5499 0.462866 120.95 0.517623 114.45 
1.40006 0.462081 -59.1078 1 -0 0.516731 -65.5932 0.462081 120.892 0.516731 114.407 
1.40329 0.461297 -59.166 1 -0 0.515839 -65.6366 0.461297 120.834 0.515839 114.363 
1.40653 0.460514 -59.2241 1 -0 0.514947 -65.6799 0.460514 120.776 0.514947 114.32 
1.40977 0.45973 -59.2821 1 -0 0.514056 -65.7232 0.45973 120.718 0.514056 114.277 
1.41303 0.458947 -59.3401 1 -0 0.513166 -65.7664 0.458947 120.66 0.513166 114.234 
1.41629 0.458165 -59.398 1 -0 0.512276 -65.8097 0.458165 120.602 0.512276 114.19 
1.41955 0.457383 -59.4558 1 -0 0.511387 -65.8529 0.457383 120.544 0.511387 114.147 
1.42283 0.456601 -59.5136 1 -0 0.510498 -65.896 0.456601 120.486 0.510498 114.104 
1.42611 0.45582 -59.5713 1 -0 0.50961 -65.9392 0.45582 120.429 0.50961 114.061 
1.4294 0.455039 -59.6289 1 -0 0.508723 -65.9823 0.455039 120.371 0.508723 114.018 
1.4327 0.454258 -59.6865 1 -0 0.507836 -66.0253 0.454258 120.314 0.507836 113.975 
1.43601 0.453478 -59.744 1 -0 0.50695 -66.0684 0.453478 120.256 0.50695 113.932 
1.43932 0.452698 -59.8014 1 -0 0.506064 -66.1114 0.452698 120.199 0.506064 113.889 
1.44264 0.451919 -59.8588 1 -0 0.505179 -66.1543 0.451919 120.141 0.505179 113.846 
1.44597 0.451141 -59.9161 1 -0 0.504295 -66.1973 0.451141 120.084 0.504295 113.803 
1.44931 0.450362 -59.9734 1 -0 0.503411 -66.2402 0.450362 120.027 0.503411 113.76 
1.45265 0.449584 -60.0306 1 -0 0.502527 -66.283 0.449584 119.969 0.502527 113.717 
1.45601 0.448807 -60.0877 1 -0 0.501645 -66.3259 0.448807 119.912 0.501645 113.674 
1.45937 0.44803 -60.1447 1 -0 0.500763 -66.3687 0.44803 119.855 0.500763 113.631 
1.46273 0.447253 -60.2017 1 -0 0.499881 -66.4114 0.447253 119.798 0.499881 113.589 
