f 1m 1f 2m 2f 3m 3f 4m 4f jL0402m jL0402f jL0300m jL0300f jVINm jVINf 
0.657933 0.835402 -33.3423 1 2.63545e-15 0.549639 56.6577 1.76329 0 0.18464 -90 0.835402 -33.3423 1.0169 -169.539
0.673415 0.829458 -33.9569 1 5.29575e-16 0.55857 56.0431 1.82979 -2.78113e-14 0.196112 -90 0.829458 -33.9569 1.01905 -168.904
0.689261 0.823364 -34.577 1 4.45557e-15 0.567513 55.423 1.90506 0 0.208984 -90 0.823364 -34.577 1.0216 -168.196
0.70548 0.817122 -35.2022 1 3.21006e-15 0.576464 54.7978 1.99085 0 0.223535 -90 0.817122 -35.2022 1.02468 -167.4
0.722081 0.810733 -35.8324 1 -7.11276e-16 0.585416 54.1676 2.08943 0 0.240124 -90 0.810733 -35.8324 1.02843 -166.498
0.739072 0.804198 -36.4671 1 -8.69683e-16 0.594361 53.5329 2.20375 0 0.259221 -90 0.804198 -36.4671 1.03305 -165.468
0.756463 0.797519 -37.1062 1 -2.71621e-15 0.603294 52.8938 2.33775 -2.17683e-14 0.281453 -90 0.797519 -37.1062 1.03885 -164.281
0.774264 0.790697 -37.7493 1 -7.65632e-16 0.612208 52.2507 2.49679 2.03817e-14 0.307674 -90 0.790697 -37.7493 1.04626 -162.898
0.792483 0.783734 -38.3962 1 9.10061e-16 0.621096 51.6038 2.68839 0 0.339081 -90 0.783734 -38.3962 1.05592 -161.269
0.811131 0.776634 -39.0466 1 -2.03599e-15 0.629952 50.9534 2.92342 0 0.3774 -90 0.776634 -39.0466 1.06885 -159.323
0.830218 0.769399 -39.7001 1 2.1183e-15 0.638769 50.2999 3.21815 -1.58131e-14 0.425225 -90 0.769399 -39.7001 1.08665 -156.964
0.849753 0.762032 -40.3564 1 7.95139e-16 0.64754 49.6436 3.59819 0 0.486628 -90 0.762032 -40.3564 1.11212 -154.051
0.869749 0.754537 -41.0151 1 2.65564e-16 0.656258 48.9849 4.10618 0 0.568398 -90 0.754537 -41.0151 1.15025 -150.386
0.890215 0.746917 -41.676 1 8.49494e-16 0.664917 48.324 4.81891 0 0.682755 -90 0.746917 -41.676 1.21085 -145.677
0.911163 0.739177 -42.3386 1 -1.16941e-15 0.673511 47.6614 5.88994 0 0.854137 -90 0.739177 -42.3386 1.31512 -139.498
0.932603 0.731321 -43.0027 1 -3.4632e-15 0.682033 46.9973 7.67757 -6.62825e-15 1.13957 -90 0.731321 -43.0027 1.51612 -131.268
0.954548 0.723354 -43.6679 1 -7.48549e-16 0.690477 46.3321 11.2567 0 1.71014 -90 0.723354 -43.6679 1.98105 -120.317
0.97701 0.715281 -44.3338 1 -2.04841e-15 0.698837 45.6662 22.0022 0 3.42126 -90 0.715281 -44.3338 3.56441 -106.293
1 0.707106 -45 1 -8.19987e-16 0.707107 45 591951 180 94212 90 0.707106 -45 94212 90.0006
1.02353 0.698837 -45.6663 1 7.79609e-16 0.715281 44.3337 21.0007 180 3.42102 90 0.698837 -45.6663 3.56418 106.294
1.04762 0.690477 -46.3322 1 -3.38555e-16 0.723355 43.6678 10.2563 180 1.71008 90 0.690477 -46.3322 1.981 120.318
