f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f jL1m jL1f jL2m jL2f jL11m jL11f jL21m jL21f jVINm jVINf jVINm jVINf 
0.00247708 0.0140014 88.217 0.0154009 178.217 0.0155572 88.3864 1 -5.01365e-17 0.0155565 178.235 1 90 0.999683 -0.891326 0.0140014 -91.783 0.999642 89.1087 0.0154009 -1.78293 0.999683 179.109 0.999642 -90.8913
0.00253536 0.0143306 88.1751 0.0157629 178.175 0.0159229 88.3485 1 -2.76691e-17 0.0159222 178.193 1 90 0.999668 -0.912279 0.0143306 -91.8249 0.999625 89.0878 0.0157629 -1.82485 0.999668 179.088 0.999625 -90.9122
0.00259502 0.0146675 88.1322 0.0161335 178.132 0.0162973 88.3096 1 -6.80868e-18 0.0162964 178.151 1 90 0.999652 -0.933724 0.0146675 -91.8678 0.999607 89.0664 0.0161335 -1.86777 0.999652 179.066 0.999607 -90.9336
0.00265609 0.0150123 88.0882 0.0165127 178.088 0.0166804 88.2699 1 1.0703e-16 0.0166795 178.107 1 90 0.999635 -0.955672 0.0150123 -91.9118 0.999588 89.0444 0.0165127 -1.91168 0.999635 179.044 0.999588 -90.9556
0.00271859 0.0153651 88.0433 0.0169008 178.043 0.0170725 88.2292 1 -4.94778e-17 0.0170715 178.063 1 90 0.999618 -0.978134 0.0153651 -91.9567 0.999569 89.022 0.0169008 -1.95663 0.999618 179.022 0.999569 -90.978
0.00278256 0.0157263 87.9973 0.017298 177.997 0.0174738 88.1876 1 1.06642e-17 0.0174728 178.017 1 90 0.9996 -1.00112 0.0157263 -92.0027 0.999548 88.999 0.017298 -2.00264 0.9996 178.999 0.999548 -91.001
0.00284804 0.0160959 87.9502 0.0177046 177.95 0.0178845 88.145 1 -9.79279e-17 0.0178834 177.971 1 90 0.999581 -1.02465 0.0160959 -92.0498 0.999527 88.9755 0.0177046 -2.04972 0.999581 178.975 0.999527 -91.0245
0.00291505 0.0164742 87.902 0.0181206 177.902 0.0183048 88.1014 1 -7.63913e-17 0.0183037 177.923 1 90 0.999561 -1.04873 0.0164742 -92.098 0.999504 88.9514 0.0181206 -2.09791 0.999561 178.951 0.999504 -91.0486
0.00298365 0.0168614 87.8526 0.0185464 177.853 0.018735 88.0567 1 -2.19242e-17 0.0187338 177.874 1 90 0.99954 -1.07338 0.0168614 -92.1474 0.99948 88.9268 0.0185464 -2.14724 0.99954 178.927 0.99948 -91.0732
0.00305386 0.0172576 87.8021 0.0189822 177.802 0.0191753 88.011 1 -7.26129e-17 0.019174 177.824 1 90 0.999518 -1.0986 0.0172576 -92.1979 0.999456 88.9015 0.0189822 -2.19771 0.999518 178.901 0.999456 -91.0985
0.00312572 0.0176632 87.7505 0.0194282 177.751 0.0196259 87.9643 1 -9.00095e-17 0.0196245 177.773 1 90 0.999495 -1.12441 0.0176632 -92.2495 0.99943 88.8757 0.0194282 -2.24938 0.999495 178.876 0.99943 -91.1243
0.00319927 0.0180782 87.6976 0.0198847 177.698 0.020087 87.9164 1 8.75765e-17 0.0200855 177.721 1 90 0.999471 -1.15083 0.0180782 -92.3024 0.999403 88.8493 0.0198847 -2.30225 0.999471 178.849 0.999403 -91.1507
0.00327455 0.018503 87.6435 0.0203518 177.644 0.020559 87.8674 1 9.65647e-18 0.0205574 177.667 1 90 0.999446 -1.17786 0.018503 -92.3565 0.999374 88.8223 0.0203518 -2.35637 0.999446 178.822 0.999374 -91.1777
