f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f 11m 11f 12m 12f 13m 13f 14m 14f 15m 15f 16m 16f 17m 17f 18m 18f jV0500m jV0500f jV0800m jV0800f jV1100m jV1100f jV1300m jV1300f jV1700m jV1700f jV1800m jV1800f 
1.70735 1.48995e-07 90 1 0 0.00343369 -179.998 1.00002 -5.81883e-08 1 0 0.00156717 1.55374e-05 0.891358 -2.79274e-08 0 0 0.00175046 -179.998 0.00152111 -179.998 0 0 0.001555 -180 1 0 0.00155489 180 0.00173704 0.00245556 0.00171184 -179.998 0 0 0 0 0 0 3.82486e-15 90 6.52715e-18 -89.9975 3.71957e-14 -90 7.34558e-18 -89.9975 3.2137e-07 180 
1.74753 1.52501e-07 90 1 0 0.00343369 -179.997 1.00002 -5.95575e-08 1 0 0.00156717 1.5903e-05 0.891358 -2.85845e-08 0 0 0.00175046 -179.997 0.00152111 -179.997 0 0 0.001555 -180 1 0 0.00155489 180 0.00173704 0.00251334 0.00171184 -179.997 0 0 0 0 0 0 3.91486e-15 90 6.68074e-18 -89.9975 3.8071e-14 -90 7.51843e-18 -89.9975 3.2137e-07 180 
1.78865 1.56089e-07 90 1 0 0.00343369 -179.997 1.00002 -6.0959e-08 1 0 0.00156717 1.62773e-05 0.891358 -2.92572e-08 0 0 0.00175046 -179.997 0.00152111 -179.997 0 0 0.001555 -180 1 0 0.00155489 180 0.00173704 0.00257248 0.00171184 -179.997 0 0 0 0 0 0 4.00698e-15 90 6.83795e-18 -89.9974 3.89668e-14 -90 7.69535e-18 -89.9974 3.2137e-07 180 
1.83074 1.59762e-07 90 1 0 0.00343369 -179.997 1.00002 -6.23934e-08 1 0 0.00156717 1.66603e-05 0.891358 -2.99456e-08 0 0 0.00175046 -179.997 0.00152111 -179.997 0 0 0.001555 -180 1 0 0.00155489 180 0.00173704 0.00263301 0.00171184 -179.997 0 0 0 0 0 0 4.10127e-15 90 6.99885e-18 -89.9974 3.98838e-14 -90 7.87643e-18 -89.9974 3.2137e-07 180 
1.87382 1.63521e-07 90 1 0 0.00343369 -179.997 1.00002 -6.38616e-08 1 0 0.00156717 1.70523e-05 0.891358 -3.06503e-08 0 0 0.00175046 -179.997 0.00152111 -179.997 0 0 0.001555 -180 1 0 0.00155489 180 0.00173704 0.00269497 0.00171184 -179.997 0 0 0 0 0 0 4.19777e-15 90 7.16354e-18 -89.9973 4.08223e-14 -90 8.06177e-18 -89.9973 3.2137e-07 180 
1.91791 1.67369e-07 90 1 0 0.00343369 -179.997 1.00002 -6.53643e-08 1 0 0.00156717 1.74536e-05 0.891358 -3.13715e-08 0 0 0.00175046 -179.997 0.00152111 -179.997 0 0 0.001555 -180 1 0 0.00155489 180 0.00173704 0.00275839 0.00171184 -179.997 0 0 0 0 0 0 4.29655e-15 90 7.33211e-18 -89.9972 4.17829e-14 -90 8.25147e-18 -89.9972 3.2137e-07 180 
1.96304 1.71308e-07 90 1 0 0.00343369 -179.997 1.00002 -6.69024e-08 1 0 0.00156717 1.78643e-05 0.891358 -3.21097e-08 0 0 0.00175046 -179.997 0.00152111 -179.997 0 0 0.001555 -180 1 0 0.00155489 180 0.00173704 0.00282329 0.00171184 -179.997 0 0 0 0 0 0 4.39765e-15 90 7.50464e-18 -89.9972 4.27661e-14 -90 8.44564e-18 -89.9972 3.2137e-07 180 
2.00923 1.75339e-07 90 1 0 0.00343369 -179.997 1.00002 -6.84767e-08 1 0 0.00156717 1.82846e-05 0.891358 -3.28653e-08 0 0 0.00175046 -179.997 0.00152111 -179.997 0 0 0.001555 -180 1 0 0.00155489 180 0.00173704 0.00288973 0.00171184 -179.997 0 0 0 0 0 0 4.50114e-15 90 7.68123e-18 -89.9971 4.37724e-14 -90 8.64437e-18 -89.9971 3.2137e-07 180 
2.05651 1.79465e-07 90 1 0 0.00343369 -179.997 1.00002 -7.0088e-08 1 0 0.00156717 1.87149e-05 0.891358 -3.36386e-08 0 0 0.00175046 -179.997 0.00152111 -179.997 0 0 0.001555 -180 1 0 0.00155489 180 0.00173704 0.00295773 0.00171184 -179.997 0 0 0 0 0 0 4.60705e-15 90 7.86198e-18 -89.997 4.48024e-14 -90 8.84778e-18 -89.997 3.2137e-07 180 
2.1049 1.83688e-07 90 1 0 0.00343369 -179.997 1.00002 -7.17373e-08 1 0 0.00156717 1.91553e-05 0.891358 -3.44302e-08 0 0 0.00175046 -179.997 0.00152111 -179.997 0 0 0.001555 -180 1 0 0.00155489 180 0.00173704 0.00302732 0.00171184 -179.997 0 0 0 0 0 0 4.71546e-15 90 8.04698e-18 -89.997 4.58566e-14 -90 9.05598e-18 -89.997 3.2137e-07 180 
