f 1m 1f 2m 2f 3m 3f jL1m jL1f jL2m jL2f jV0300m jV0300f 
911.82 30.0006 0.00833398 2 90 2 90 0.000989052 61.9345 0.000440228 -97.5863 3.00047 -179.983
921.829 30.0006 0.00824349 2 90 2 90 0.000978314 61.9344 0.000435448 -97.5864 3.00046 -179.984
931.838 30.0006 0.00815495 2 90 2 90 0.000967806 61.9343 0.000430771 -97.5865 3.00046 -179.984
941.847 30.0006 0.00806829 2 90 2 90 0.000957521 61.9342 0.000426193 -97.5866 3.00045 -179.984
951.856 30.0006 0.00798344 2 90 2 90 0.000947453 61.9342 0.000421711 -97.5867 3.00045 -179.984
961.865 30.0006 0.00790037 2 90 2 90 0.000937595 61.9341 0.000417323 -97.5867 3.00044 -179.984
971.874 30.0005 0.00781901 2 90 2 90 0.000927939 61.934 0.000413025 -97.5868 3.00044 -179.984
981.883 30.0005 0.0077393 2 90 2 90 0.00091848 61.934 0.000408815 -97.5869 3.00043 -179.985
991.892 30.0005 0.00766121 2 90 2 90 0.000909212 61.9339 0.00040469 -97.587 3.00043 -179.985
1001.9 30.0005 0.00758467 2 90 2 90 0.00090013 61.9338 0.000400647 -97.5871 3.00042 -179.985
1011.91 30.0005 0.00750965 2 90 2 90 0.000891227 61.9338 0.000396684 -97.5871 3.00042 -179.985
1021.92 30.0005 0.0074361 2 90 2 90 0.000882498 61.9337 0.000392799 -97.5872 3.00042 -179.985
1031.93 30.0005 0.00736397 2 90 2 90 0.000873939 61.9337 0.000388989 -97.5873 3.00041 -179.985
1041.94 30.0005 0.00729323 2 90 2 90 0.000865544 61.9336 0.000385252 -97.5874 3.00041 -179.985
1051.95 30.0005 0.00722384 2 90 2 90 0.000857309 61.9335 0.000381587 -97.5874 3.0004 -179.986
1061.95 30.0005 0.00715575 2 90 2 90 0.000849229 61.9335 0.00037799 -97.5875 3.0004 -179.986
1071.96 30.0005 0.00708894 2 90 2 90 0.0008413 61.9334 0.000374461 -97.5876 3.0004 -179.986
1081.97 30.0005 0.00702336 2 90 2 90 0.000833518 61.9334 0.000370997 -97.5876 3.00039 -179.986
