f 1m 1f 2m 2f 3m 3f jL0301m jL0301f jV0200m jV0200f 
921.829 1 90.0099 1 90 2.98085e-08 -89.9901 0.000172651 -179.99 0.000172651 -179.99
931.838 1 90.0098 1 90 2.91716e-08 -89.9902 0.000170797 -179.99 0.000170797 -179.99
941.847 1 90.0097 1 90 2.85548e-08 -89.9903 0.000168982 -179.99 0.000168982 -179.99
951.856 1 90.0096 1 90 2.79575e-08 -89.9904 0.000167205 -179.99 0.000167205 -179.99
961.865 1 90.0095 1 90 2.73787e-08 -89.9905 0.000165465 -179.991 0.000165465 -179.991
971.874 1 90.0094 1 90 2.68176e-08 -89.9906 0.000163761 -179.991 0.000163761 -179.991
981.883 1 90.0093 1 90 2.62737e-08 -89.9907 0.000162092 -179.991 0.000162092 -179.991
991.892 1 90.0092 1 90 2.57461e-08 -89.9908 0.000160456 -179.991 0.000160456 -179.991
1001.9 1 90.0091 1 90 2.52343e-08 -89.9909 0.000158853 -179.991 0.000158853 -179.991
1011.91 1 90.009 1 90 2.47375e-08 -89.991 0.000157282 -179.991 0.000157282 -179.991
1021.92 1 90.0089 1 90 2.42553e-08 -89.9911 0.000155741 -179.991 0.000155741 -179.991
1031.93 1 90.0088 1 90 2.37871e-08 -89.9912 0.000154231 -179.991 0.000154231 -179.991
1041.94 1 90.0088 1 90 2.33323e-08 -89.9912 0.000152749 -179.991 0.000152749 -179.991
1051.95 1 90.0087 1 90 2.28904e-08 -89.9913 0.000151296 -179.991 0.000151296 -179.991
1061.95 1 90.0086 1 90 2.24609e-08 -89.9914 0.00014987 -179.991 0.00014987 -179.991
1071.96 1 90.0085 1 90 2.20435e-08 -89.9915 0.00014847 -179.991 0.00014847 -179.991
1081.97 1 90.0084 1 90 2.16375e-08 -89.9916 0.000147097 -179.992 0.000147097 -179.992
1091.98 1 90.0084 1 90 2.12427e-08 -89.9916 0.000145749 -179.992 0.000145749 -179.992
1101.99 1 90.0083 1 90 2.08586e-08 -89.9917 0.000144425 -179.992 0.000144425 -179.992
1112 1 90.0082 1 90 2.04848e-08 -89.9918 0.000143125 -179.992 0.000143125 -179.992
1122.01 1 90.0081 1 90 2.01209e-08 -89.9919 0.000141848 -179.992 0.000141848 -179.992
1132.02 1 90.0081 1 90 1.97667e-08 -89.9919 0.000140594 -179.992 0.000140594 -179.992
1142.03 1 90.008 1 90 1.94217e-08 -89.992 0.000139362 -179.992 0.000139362 -179.992
1152.04 1 90.0079 1 90 1.90857e-08 -89.9921 0.000138151 -179.992 0.000138151 -179.992
1162.05 1 90.0078 1 90 1.87583e-08 -89.9922 0.000136961 -179.992 0.000136961 -179.992
1172.05 1 90.0078 1 90 1.84393e-08 -89.9922 0.000135791 -179.992 0.000135791 -179.992
1182.06 1 90.0077 1 90 1.81284e-08 -89.9923 0.000134642 -179.992 0.000134642 -179.992
1192.07 1 90.0076 1 90 1.78252e-08 -89.9924 0.000133511 -179.992 0.000133511 -179.992
1202.08 1 90.0076 1 90 1.75296e-08 -89.9924 0.0001324 -179.992 0.0001324 -179.992
1212.09 1 90.0075 1 90 1.72413e-08 -89.9925 0.000131306 -179.992 0.000131306 -179.992
1222.1 1 90.0075 1 90 1.69601e-08 -89.9925 0.000130231 -179.993 0.000130231 -179.993
1232.11 1 90.0074 1 90 1.66856e-08 -89.9926 0.000129173 -179.993 0.000129173 -179.993
1242.12 1 90.0073 1 90 1.64178e-08 -89.9927 0.000128132 -179.993 0.000128132 -179.993
1252.13 1 90.0073 1 90 1.61564e-08 -89.9927 0.000127108 -179.993 0.000127108 -179.993
1262.14 1 90.0072 1 90 1.59012e-08 -89.9928 0.0001261 -179.993 0.0001261 -179.993
1272.14 1 90.0072 1 90 1.56519e-08 -89.9928 0.000125108 -179.993 0.000125108 -179.993
1282.15 1 90.0071 1 90 1.54085e-08 -89.9929 0.000124131 -179.993 0.000124131 -179.993
1292.16 1 90.0071 1 90 1.51707e-08 -89.9929 0.000123169 -179.993 0.000123169 -179.993
1302.17 1 90.007 1 90 1.49384e-08 -89.993 0.000122223 -179.993 0.000122223 -179.993
1312.18 1 90.0069 1 90 1.47114e-08 -89.9931 0.00012129 -179.993 0.00012129 -179.993
1322.19 1 90.0069 1 90 1.44895e-08 -89.9931 0.000120372 -179.993 0.000120372 -179.993
1332.2 1 90.0068 1 90 1.42726e-08 -89.9932 0.000119468 -179.993 0.000119468 -179.993
1342.21 1 90.0068 1 90 1.40605e-08 -89.9932 0.000118577 -179.993 0.000118577 -179.993
1352.22 1 90.0067 1 90 1.38531e-08 -89.9933 0.000117699 -179.993 0.000117699 -179.993
1362.23 1 90.0067 1 90 1.36503e-08 -89.9933 0.000116835 -179.993 0.000116835 -179.993
1372.23 1 90.0066 1 90 1.34519e-08 -89.9934 0.000115982 -179.993 0.000115982 -179.993
1382.24 1 90.0066 1 90 1.32578e-08 -89.9934 0.000115143 -179.993 0.000115143 -179.993
1392.25 1 90.0065 1 90 1.30679e-08 -89.9935 0.000114315 -179.993 0.000114315 -179.993
1402.26 1 90.0065 1 90 1.2882e-08 -89.9935 0.000113499 -179.993 0.000113499 -179.993
1412.27 1 90.0065 1 90 1.27e-08 -89.9935 0.000112694 -179.994 0.000112694 -179.994
1422.28 1 90.0064 1 90 1.25219e-08 -89.9936 0.000111901 -179.994 0.000111901 -179.994
1432.29 1 90.0064 1 90 1.23475e-08 -89.9936 0.000111119 -179.994 0.000111119 -179.994
1442.3 1 90.0063 1 90 1.21767e-08 -89.9937 0.000110348 -179.994 0.000110348 -179.994
1452.31 1 90.0063 1 90 1.20095e-08 -89.9937 0.000109588 -179.994 0.000109588 -179.994
1462.32 1 90.0062 1 90 1.18456e-08 -89.9938 0.000108838 -179.994 0.000108838 -179.994
1472.32 1 90.0062 1 90 1.16851e-08 -89.9938 0.000108098 -179.994 0.000108098 -179.994
1482.33 1 90.0062 1 90 1.15279e-08 -89.9938 0.000107368 -179.994 0.000107368 -179.994
1492.34 1 90.0061 1 90 1.13737e-08 -89.9939 0.000106648 -179.994 0.000106648 -179.994
1502.35 1 90.0061 1 90 1.12227e-08 -89.9939 0.000105937 -179.994 0.000105937 -179.994
1512.36 1 90.006 1 90 1.10746e-08 -89.994 0.000105236 -179.994 0.000105236 -179.994
1522.37 1 90.006 1 90 1.09295e-08 -89.994 0.000104544 -179.994 0.000104544 -179.994
1532.38 1 90.006 1 90 1.07872e-08 -89.994 0.000103861 -179.994 0.000103861 -179.994
1542.39 1 90.0059 1 90 1.06476e-08 -89.9941 0.000103187 -179.994 0.000103187 -179.994
1552.4 1 90.0059 1 90 1.05108e-08 -89.9941 0.000102522 -179.994 0.000102522 -179.994
1562.41 1 90.0058 1 90 1.03765e-08 -89.9942 0.000101865 -179.994 0.000101865 -179.994
1572.41 1 90.0058 1 90 1.02449e-08 -89.9942 0.000101217 -179.994 0.000101217 -179.994
1582.42 1 90.0058 1 90 1.01157e-08 -89.9942 0.000100577 -179.994 0.000100577 -179.994
1592.43 1 90.0057 1 90 9.98891e-09 -89.9943 9.99446e-05 -179.994 9.99446e-05 -179.994
1602.44 1 90.0057 1 90 9.86452e-09 -89.9943 9.93203e-05 -179.994 9.93203e-05 -179.994
1612.45 1 90.0057 1 90 9.74243e-09 -89.9943 9.87038e-05 -179.994 9.87038e-05 -179.994
1622.46 1 90.0056 1 90 9.6226e-09 -89.9944 9.80949e-05 -179.994 9.80949e-05 -179.994
1632.47 1 90.0056 1 90 9.50497e-09 -89.9944 9.74934e-05 -179.994 9.74934e-05 -179.994
1642.48 1 90.0056 1 90 9.38948e-09 -89.9944 9.68993e-05 -179.994 9.68993e-05 -179.994
1652.49 1 90.0055 1 90 9.27608e-09 -89.9945 9.63124e-05 -179.994 9.63124e-05 -179.994
1662.5 1 90.0055 1 90 9.16472e-09 -89.9945 9.57326e-05 -179.995 9.57326e-05 -179.995
1672.5 1 90.0055 1 90 9.05536e-09 -89.9945 9.51597e-05 -179.995 9.51597e-05 -179.995
1682.51 1 90.0054 1 90 8.94794e-09 -89.9946 9.45936e-05 -179.995 9.45936e-05 -179.995
1692.52 1 90.0054 1 90 8.84242e-09 -89.9946 9.40342e-05 -179.995 9.40342e-05 -179.995
1702.53 1 90.0054 1 90 8.73876e-09 -89.9946 9.34813e-05 -179.995 9.34813e-05 -179.995
1712.54 1 90.0053 1 90 8.63691e-09 -89.9947 9.2935e-05 -179.995 9.2935e-05 -179.995
1722.55 1 90.0053 1 90 8.53683e-09 -89.9947 9.2395e-05 -179.995 9.2395e-05 -179.995
1732.56 1 90.0053 1 90 8.43848e-09 -89.9947 9.18612e-05 -179.995 9.18612e-05 -179.995
1742.57 1 90.0052 1 90 8.34182e-09 -89.9948 9.13336e-05 -179.995 9.13336e-05 -179.995
1752.58 1 90.0052 1 90 8.24682e-09 -89.9948 9.0812e-05 -179.995 9.0812e-05 -179.995
1762.59 1 90.0052 1 90 8.15342e-09 -89.9948 9.02963e-05 -179.995 9.02963e-05 -179.995
1772.59 1 90.0051 1 90 8.0616e-09 -89.9949 8.97864e-05 -179.995 8.97864e-05 -179.995
1782.6 1 90.0051 1 90 7.97133e-09 -89.9949 8.92823e-05 -179.995 8.92823e-05 -179.995
1792.61 1 90.0051 1 90 7.88256e-09 -89.9949 8.87838e-05 -179.995 8.87838e-05 -179.995
1802.62 1 90.0051 1 90 7.79527e-09 -89.9949 8.82908e-05 -179.995 8.82908e-05 -179.995
1812.63 1 90.005 1 90 7.70942e-09 -89.995 8.78033e-05 -179.995 8.78033e-05 -179.995
1822.64 1 90.005 1 90 7.62498e-09 -89.995 8.73211e-05 -179.995 8.73211e-05 -179.995
1832.65 1 90.005 1 90 7.54192e-09 -89.995 8.68442e-05 -179.995 8.68442e-05 -179.995
1842.66 1 90.0049 1 90 7.46021e-09 -89.9951 8.63725e-05 -179.995 8.63725e-05 -179.995
1852.67 1 90.0049 1 90 7.37982e-09 -89.9951 8.59059e-05 -179.995 8.59059e-05 -179.995
1862.68 1 90.0049 1 90 7.30072e-09 -89.9951 8.54443e-05 -179.995 8.54443e-05 -179.995
1872.68 1 90.0049 1 90 7.22289e-09 -89.9951 8.49876e-05 -179.995 8.49876e-05 -179.995
1882.69 1 90.0048 1 90 7.14629e-09 -89.9952 8.45358e-05 -179.995 8.45358e-05 -179.995
1892.7 1 90.0048 1 90 7.07091e-09 -89.9952 8.40887e-05 -179.995 8.40887e-05 -179.995
1902.71 1 90.0048 1 90 6.99672e-09 -89.9952 8.36464e-05 -179.995 8.36464e-05 -179.995
1912.72 1 90.0048 1 90 6.92368e-09 -89.9952 8.32087e-05 -179.995 8.32087e-05 -179.995
1922.73 1 90.0047 1 90 6.85179e-09 -89.9953 8.27755e-05 -179.995 8.27755e-05 -179.995
1932.74 1 90.0047 1 90 6.781e-09 -89.9953 8.23468e-05 -179.995 8.23468e-05 -179.995
1942.75 1 90.0047 1 90 6.71131e-09 -89.9953 8.19226e-05 -179.995 8.19226e-05 -179.995
1952.76 1 90.0047 1 90 6.64269e-09 -89.9953 8.15027e-05 -179.995 8.15027e-05 -179.995
