f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f 11m 11f 12m 12f 13m 13f 14m 14f 15m 15f 16m 16f 17m 17f 18m 18f jV0500m jV0500f jV0800m jV0800f jV1100m jV1100f jV1300m jV1300f jV1700m jV1700f jV1800m jV1800f 
1.70735 1.48995e-07 90 1 0 0.0034379 -179.998 1.00002 -5.81977e-08 1 0 0.00156699 1.5565e-05 0.891346 -2.79344e-08 0 0 0.00175019 -179.998 0.0015233 -179.998 0 0 0.00155493 -180 1 0 0.00155471 180 0.0017366 0.00245624 0.00171163 -179.998 0 0 0 0 0 0 3.82481e-15 90 6.53654e-18 -89.9975 3.71957e-14 -90 7.34466e-18 -89.9975 3.21403e-07 180 
1.74753 1.52501e-07 90 1 0 0.0034379 -179.997 1.00002 -5.95671e-08 1 0 0.00156699 1.59312e-05 0.891346 -2.85917e-08 0 0 0.00175019 -179.997 0.0015233 -179.997 0 0 0.00155493 -180 1 0 0.00155471 180 0.0017366 0.00251404 0.00171163 -179.997 0 0 0 0 0 0 3.91481e-15 90 6.69035e-18 -89.9975 3.8071e-14 -90 7.51749e-18 -89.9975 3.21403e-07 180 
1.78865 1.56089e-07 90 1 0 0.0034379 -179.997 1.00002 -6.09688e-08 1 0 0.00156699 1.63061e-05 0.891346 -2.92645e-08 0 0 0.00175019 -179.997 0.0015233 -179.997 0 0 0.00155493 -180 1 0 0.00155471 180 0.0017366 0.00257319 0.00171163 -179.997 0 0 0 0 0 0 4.00693e-15 90 6.84778e-18 -89.9974 3.89668e-14 -90 7.69438e-18 -89.9974 3.21403e-07 180 
1.83074 1.59762e-07 90 1 0 0.0034379 -179.997 1.00002 -6.24035e-08 1 0 0.00156699 1.66898e-05 0.891346 -2.99531e-08 0 0 0.00175019 -179.997 0.0015233 -179.997 0 0 0.00155493 -180 1 0 0.00155471 180 0.0017366 0.00263374 0.00171163 -179.997 0 0 0 0 0 0 4.10121e-15 90 7.00892e-18 -89.9974 3.98838e-14 -90 7.87544e-18 -89.9974 3.21403e-07 180 
1.87382 1.63521e-07 90 1 0 0.0034379 -179.997 1.00002 -6.38719e-08 1 0 0.00156699 1.70825e-05 0.891346 -3.0658e-08 0 0 0.00175019 -179.997 0.0015233 -179.997 0 0 0.00155493 -180 1 0 0.00155471 180 0.0017366 0.00269572 0.00171163 -179.997 0 0 0 0 0 0 4.19772e-15 90 7.17385e-18 -89.9973 4.08223e-14 -90 8.06076e-18 -89.9973 3.21403e-07 180 
1.91791 1.67369e-07 90 1 0 0.0034379 -179.997 1.00002 -6.53748e-08 1 0 0.00156699 1.74845e-05 0.891346 -3.13794e-08 0 0 0.00175019 -179.997 0.0015233 -179.997 0 0 0.00155493 -180 1 0 0.00155471 180 0.0017366 0.00275915 0.00171163 -179.997 0 0 0 0 0 0 4.2965e-15 90 7.34265e-18 -89.9972 4.17829e-14 -90 8.25044e-18 -89.9972 3.21403e-07 180 
1.96304 1.71308e-07 90 1 0 0.0034379 -179.997 1.00002 -6.69132e-08 1 0 0.00156699 1.78959e-05 0.891346 -3.21178e-08 0 0 0.00175019 -179.997 0.0015233 -179.997 0 0 0.00155493 -180 1 0 0.00155471 180 0.0017366 0.00282408 0.00171163 -179.997 0 0 0 0 0 0 4.3976e-15 90 7.51543e-18 -89.9972 4.27661e-14 -90 8.44458e-18 -89.9972 3.21403e-07 180 
2.00923 1.75339e-07 90 1 0 0.0034379 -179.997 1.00002 -6.84877e-08 1 0 0.00156699 1.8317e-05 0.891346 -3.28735e-08 0 0 0.00175019 -179.997 0.0015233 -179.997 0 0 0.00155493 -180 1 0 0.00155471 180 0.0017366 0.00289053 0.00171163 -179.997 0 0 0 0 0 0 4.50108e-15 90 7.69228e-18 -89.9971 4.37724e-14 -90 8.64329e-18 -89.9971 3.21403e-07 180 
2.05651 1.79465e-07 90 1 0 0.0034379 -179.997 1.00002 -7.00993e-08 1 0 0.00156699 1.87481e-05 0.891346 -3.36471e-08 0 0 0.00175019 -179.997 0.0015233 -179.997 0 0 0.00155493 -180 1 0 0.00155471 180 0.0017366 0.00295855 0.00171163 -179.997 0 0 0 0 0 0 4.60699e-15 90 7.87329e-18 -89.997 4.48024e-14 -90 8.84667e-18 -89.997 3.21403e-07 180 
2.1049 1.83688e-07 90 1 0 0.0034379 -179.997 1.00002 -7.17488e-08 1 0 0.00156699 1.91892e-05 0.891346 -3.44388e-08 0 0 0.00175019 -179.997 0.0015233 -179.997 0 0 0.00155493 -180 1 0 0.00155471 180 0.0017366 0.00302817 0.00171163 -179.997 0 0 0 0 0 0 4.7154e-15 90 8.05855e-18 -89.997 4.58566e-14 -90 9.05484e-18 -89.997 3.21403e-07 180 
