f 1m 1f 2m 2f jV0200m jV0200f 
4.53488 0.453008 87.4036 10 -0 0.453008 -92.5964
4.64159 0.463645 87.3426 10 -0 0.463645 -92.6574
4.75081 0.474531 87.2801 10 -0 0.474531 -92.7199
4.8626 0.485671 87.2162 10 -0 0.485671 -92.7838
4.97702 0.497072 87.1508 10 -0 0.497072 -92.8492
5.09414 0.508738 87.0839 10 -0 0.508738 -92.9161
5.21401 0.520677 87.0154 10 -0 0.520677 -92.9846
5.3367 0.532895 86.9453 10 -0 0.532895 -93.0547
5.46228 0.545398 86.8735 10 -0 0.545398 -93.1265
5.59081 0.558192 86.8001 10 -0 0.558192 -93.1999
5.72237 0.571284 86.725 10 -0 0.571284 -93.275
5.85702 0.584682 86.6481 10 -0 0.584682 -93.3519
5.99484 0.598391 86.5694 10 -0 0.598391 -93.4306
6.13591 0.61242 86.4889 10 -0 0.61242 -93.5111
6.28029 0.626775 86.4065 10 -0 0.626775 -93.5935
6.42807 0.641464 86.3222 10 -0 0.641464 -93.6778
6.57933 0.656494 86.2359 10 -0 0.656494 -93.7641
6.73415 0.671873 86.1476 10 -0 0.671873 -93.8524
6.89261 0.687608 86.0572 10 -0 0.687608 -93.9428
7.0548 0.703709 85.9647 10 -0 0.703709 -94.0353
7.22081 0.720184 85.8701 10 -0 0.720184 -94.1299
7.39072 0.737039 85.7732 10 -0 0.737039 -94.2268
7.56463 0.754285 85.6742 10 -0 0.754285 -94.3258
7.74264 0.771929 85.5728 10 -0 0.771929 -94.4272
7.92483 0.789982 85.469 10 -0 0.789982 -94.531
8.11131 0.808451 85.3629 10 -0 0.808451 -94.6371
8.30218 0.827346 85.2542 10 -0 0.827346 -94.7458
8.49753 0.846676 85.1431 10 -0 0.846676 -94.8569
8.69749 0.866451 85.0294 10 -0 0.866451 -94.9706
8.90215 0.886681 84.913 10 -0 0.886681 -95.087
9.11163 0.907376 84.794 10 -0 0.907376 -95.206
9.32603 0.928545 84.6722 10 -0 0.928545 -95.3278
9.54548 0.9502 84.5475 10 -0 0.9502 -95.4525
9.7701 0.97235 84.42 10 -0 0.97235 -95.58
10 0.995007 84.2896 10 -0 0.995007 -95.7104
10.2353 1.01818 84.1561 10 -0 1.01818 -95.8439
10.4762 1.04188 84.0196 10 -0 1.04188 -95.9804
10.7227 1.06612 83.8799 10 -0 1.06612 -96.1201
10.975 1.09091 83.7371 10 -0 1.09091 -96.2629
11.2332 1.11627 83.5909 10 -0 1.11627 -96.4091
11.4976 1.1422 83.4414 10 -0 1.1422 -96.5586
11.7681 1.16871 83.2884 10 -0 1.16871 -96.7116
12.045 1.19582 83.132 10 -0 1.19582 -96.868
12.3285 1.22355 82.972 10 -0 1.22355 -97.028
12.6186 1.25189 82.8083 10 -0 1.25189 -97.1917
12.9155 1.28087 82.6409 10 -0 1.28087 -97.3591
13.2194 1.3105 82.4697 10 -0 1.3105 -97.5303
13.5305 1.34079 82.2946 10 -0 1.34079 -97.7054
13.8489 1.37175 82.1156 10 -0 1.37175 -97.8844
14.1747 1.4034 81.9325 10 -0 1.4034 -98.0675
14.5083 1.43575 81.7452 10 -0 1.43575 -98.2548
14.8497 1.46882 81.5537 10 -0 1.46882 -98.4463
15.1991 1.50261 81.358 10 -0 1.50261 -98.642
15.5568 1.53714 81.1578 10 -0 1.53714 -98.8422
15.9228 1.57243 80.9531 10 -0 1.57243 -99.0469
16.2975 1.60848 80.7439 10 -0 1.60848 -99.2561
16.681 1.64532 80.53 10 -0 1.64532 -99.47
17.0735 1.68295 80.3113 10 -0 1.68295 -99.6887
17.4753 1.72139 80.0878 10 -0 1.72139 -99.9122
17.8865 1.76065 79.8593 10 -0 1.76065 -100.141
18.3074 1.80075 79.6258 10 -0 1.80075 -100.374
