f 1m 1f 2m 2f jV0200m jV0200f 
2913.62 0 0 0 0 0 0
2923.63 0 0 0 0 0 0
2933.64 0 0 0 0 0 0
2943.65 0 0 0 0 0 0
2953.66 0 0 0 0 0 0
2963.67 0 0 0 0 0 0
2973.68 0 0 0 0 0 0
2983.68 0 0 0 0 0 0
2993.69 0 0 0 0 0 0
3003.7 0 0 0 0 0 0
3013.71 0 0 0 0 0 0
3023.72 0 0 0 0 0 0
3033.73 0 0 0 0 0 0
3043.74 0 0 0 0 0 0
3053.75 0 0 0 0 0 0
3063.76 0 0 0 0 0 0
3073.77 0 0 0 0 0 0
3083.77 0 0 0 0 0 0
3093.78 0 0 0 0 0 0
3103.79 0 0 0 0 0 0
3113.8 0 0 0 0 0 0
3123.81 0 0 0 0 0 0
3133.82 0 0 0 0 0 0
3143.83 0 0 0 0 0 0
3153.84 0 0 0 0 0 0
3163.85 0 0 0 0 0 0
3173.86 0 0 0 0 0 0
3183.86 0 0 0 0 0 0
3193.87 0 0 0 0 0 0
3203.88 0 0 0 0 0 0
3213.89 0 0 0 0 0 0
3223.9 0 0 0 0 0 0
3233.91 0 0 0 0 0 0
3243.92 0 0 0 0 0 0
3253.93 0 0 0 0 0 0
3263.94 0 0 0 0 0 0
3273.95 0 0 0 0 0 0
3283.95 0 0 0 0 0 0
3293.96 0 0 0 0 0 0
3303.97 0 0 0 0 0 0
3313.98 0 0 0 0 0 0
3323.99 0 0 0 0 0 0
3334 0 0 0 0 0 0
3344.01 0 0 0 0 0 0
3354.02 0 0 0 0 0 0
3364.03 0 0 0 0 0 0
3374.04 0 0 0 0 0 0
3384.05 0 0 0 0 0 0
3394.05 0 0 0 0 0 0
3404.06 0 0 0 0 0 0
3414.07 0 0 0 0 0 0
3424.08 0 0 0 0 0 0
3434.09 0 0 0 0 0 0
3444.1 0 0 0 0 0 0
3454.11 0 0 0 0 0 0
3464.12 0 0 0 0 0 0
3474.13 0 0 0 0 0 0
3484.14 0 0 0 0 0 0
3494.14 0 0 0 0 0 0
3504.15 0 0 0 0 0 0
3514.16 0 0 0 0 0 0
3524.17 0 0 0 0 0 0
3534.18 0 0 0 0 0 0
3544.19 0 0 0 0 0 0
3554.2 0 0 0 0 0 0
3564.21 0 0 0 0 0 0
3574.22 0 0 0 0 0 0
3584.23 0 0 0 0 0 0
3594.23 0 0 0 0 0 0
3604.24 0 0 0 0 0 0
3614.25 0 0 0 0 0 0
3624.26 0 0 0 0 0 0
3634.27 0 0 0 0 0 0
3644.28 0 0 0 0 0 0
3654.29 0 0 0 0 0 0
3664.3 0 0 0 0 0 0
3674.31 0 0 0 0 0 0
3684.32 0 0 0 0 0 0
3694.32 0 0 0 0 0 0
3704.33 0 0 0 0 0 0
3714.34 0 0 0 0 0 0
3724.35 0 0 0 0 0 0
3734.36 0 0 0 0 0 0
3744.37 0 0 0 0 0 0
3754.38 0 0 0 0 0 0
3764.39 0 0 0 0 0 0
3774.4 0 0 0 0 0 0
3784.41 0 0 0 0 0 0
3794.41 0 0 0 0 0 0
3804.42 0 0 0 0 0 0
3814.43 0 0 0 0 0 0
3824.44 0 0 0 0 0 0
3834.45 0 0 0 0 0 0
3844.46 0 0 0 0 0 0
3854.47 0 0 0 0 0 0
3864.48 0 0 0 0 0 0
3874.49 0 0 0 0 0 0
3884.5 0 0 0 0 0 0
3894.5 0 0 0 0 0 0
3904.51 0 0 0 0 0 0
3914.52 0 0 0 0 0 0
3924.53 0 0 0 0 0 0
3934.54 0 0 0 0 0 0
3944.55 0 0 0 0 0 0
3954.56 0 0 0 0 0 0
3964.57 0 0 0 0 0 0
3974.58 0 0 0 0 0 0
3984.59 0 0 0 0 0 0
3994.59 0 0 0 0 0 0
4004.6 0 0 0 0 0 0
4014.61 0 0 0 0 0 0
4024.62 0 0 0 0 0 0
4034.63 0 0 0 0 0 0
4044.64 0 0 0 0 0 0
4054.65 0 0 0 0 0 0
4064.66 0 0 0 0 0 0
4074.67 0 0 0 0 0 0
4084.68 0 0 0 0 0 0
4094.68 0 0 0 0 0 0
4104.69 0 0 0 0 0 0
4114.7 0 0 0 0 0 0
4124.71 0 0 0 0 0 0
4134.72 0 0 0 0 0 0
4144.73 0 0 0 0 0 0
4154.74 0 0 0 0 0 0
4164.75 0 0 0 0 0 0
4174.76 0 0 0 0 0 0
4184.77 0 0 0 0 0 0
4194.77 0 0 0 0 0 0
4204.78 0 0 0 0 0 0
4214.79 0 0 0 0 0 0
4224.8 0 0 0 0 0 0
4234.81 0 0 0 0 0 0
4244.82 0 0 0 0 0 0
4254.83 0 0 0 0 0 0
4264.84 0 0 0 0 0 0
4274.85 0 0 0 0 0 0
4284.86 0 0 0 0 0 0
4294.86 0 0 0 0 0 0
4304.87 0 0 0 0 0 0
4314.88 0 0 0 0 0 0
4324.89 0 0 0 0 0 0
4334.9 0 0 0 0 0 0
4344.91 0 0 0 0 0 0
4354.92 0 0 0 0 0 0
4364.93 0 0 0 0 0 0
4374.94 0 0 0 0 0 0
4384.95 0 0 0 0 0 0
4394.95 0 0 0 0 0 0
